state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
19500	0.000	0.000	0.000	0	1	323.950	1.268	1.821	-32.62	-280.19	0.00	-0.37
19600	0.000	0.000	0.000	0	1	531.853	1.009	1.821	-32.26	-280.61	0.00	0.00
19700	0.000	0.000	0.000	0	2	356.505	1.009	1.609	-32.18	-281.31	-0.76	0.00
19800	0.000	0.000	0.000	0	2	735.377	0.863	2.373	-34.89	-282.44	0.00	0.00
19900	0.000	0.000	0.000	0	1	643.421	1.179	2.384	-32.63	-280.83	-0.00	0.39
20000	0.000	0.000	0.000	0	1	626.616	1.179	2.384	-32.63	-280.80	0.00	0.00
20100	0.000	0.000	0.000	0	1	552.291	1.179	1.825	-32.36	-280.65	-1.25	0.00
20200	0.000	0.000	0.000	0	2	369.222	1.304	2.251	-34.03	-281.34	0.00	0.00
20300	0.000	0.000	0.000	0	1	483.856	0.956	2.251	-32.15	-280.51	-0.00	0.00
20400	0.000	0.000	0.000	0	1	346.388	1.260	2.346	-32.71	-280.24	-1.04	0.00
20500	0.000	0.000	0.000	0	2	430.082	1.066	2.363	-33.61	-281.53	0.00	-137.36
20600	0.000	0.000	0.000	0	2	228.818	1.066	1.643	-35.12	-280.92	0.00	0.00
20700	0.000	0.000	0.000	0	4	149.684	0.987	1.740	-34.66	-281.68	-0.37	0.00
20800	0.000	0.000	0.000	0	1	227.158	0.987	2.120	-31.79	-280.00	0.00	0.00
20900	0.000	0.000	0.000	0	1	205.324	1.249	2.120	-32.31	-279.95	0.00	-144.51
